474,-88
475,-96
476,-80.2
477,-45.4
478,-79.5
479,-76
480,-92.2
481,-28.5
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,-75.5
491,-77.4
492,-87.5
493,-78
494,-92
495,-88.5
496,-92
497,-98.5
498,-70.5
499,-66
500,-65.3
501,-91
502,-89
503,-100
504,-86.7
505,-100
506,-80.5
507,-79.5
508,-95.5
509,-97
510,-86
511,-61
512,-86.5
513,-72.6
514,-60.4
515,-97
516,-89
517,-84
518,-83
519,-65.1
520,-18.7
521,-57
522,-93.5
523,-98.5
524,-100
525,-95
526,-93.5
527,-98.5
528,-85.5
529,-100
530,-100
531,-95.5
532,-74.5
533,-16.2
534,-70
535,-65.5
536,-23.5
537,-76
538,-79
539,-70
540,-80
541,-65.5
542,-100
543,-100
544,-98.5
545,-60.9
546,-62
547,-43
548,-4.3
549,-61.5
550,-91
551,-70
552,-70.5
553,-94
554,-75.5
555,-78.5
556,-43.6
557,-98.5
558,-86.2
559,-82
560,-57.4
561,-42.2
562,-45.3
563,-89
564,-67
565,-66.5
566,-86
567,-51.5
568,-87.5
569,-33.6
570,-84
571,-64
572,-78
573,-95
574,-81.5
575,-95.5
576,-56.7
577,-64.5
578,-78
579,-35.6
580,-88
581,-83
582,-95.5
583,3
584,-51.9
585,-68.5
586,-92.5
587,-100
588,-100
589,-89.5
590,-95
591,-92
592,-89
593,-97
594,-91
595,-73
596,-86.5
597,-66.5
598,-81.5
599,-73.7
600,-83
601,-86.7
602,-22.5
603,-47.2
604,-78.5
605,-76
606,-86
607,-86.5
608,-88
609,-82.5
610,-88
611,-85
612,-66
613,-86
614,-73
615,-68.5
616,-77.5
617,-10.9
618,-79
619,-82.5
620,54
621,-3.3
622,-30.1
623,-73
624,-97
625,-93.5
626,-97
627,-78.5
628,-93.5
629,-92
630,-84
631,-100
632,-93.5
633,-100
634,-95.5
635,-21.3
636,-5.3
637,-34.5
638,8
639,-3.3
640,-96.5
641,-65.5
642,-75
643,-83
644,-95
645,-85.5
646,-96
647,-100
648,-100
649,-79.4
650,-60.1
651,-30.2
652,-50.5
653,-55
654,-36.5
655,-25.3
656,-53.5
657,-61.4
658,-80.5
659,-85.5
660,-54.5
661,-54
662,-80.5
663,-71.7
664,-62
665,-86.5
666,-38.5
667,-59
668,-89
669,-70
670,-97
671,-66.5
672,-88
673,-95.5
674,-64.9
675,-98.5
676,-92.5
677,-100
678,-83
679,-97
680,-95.5
681,-98.5
682,-90.5
683,-93.5
684,-97
685,-100
686,-97
687,-75.5
688,-82.5
689,-98.5
690,-60
691,-67
692,-100
693,-90.5
694,-100
695,-100
696,-85.5
697,-95
698,-95
699,-56.3
700,-92.7
701,-21.6
702,-78.5
703,-41
704,-84.5
705,-76.5
706,-98.5
707,-100
708,-93.5
709,-75
710,-76.5
711,-92
712,-80.1
713,-48.3
714,-11.2
715,-89.5
716,-51.1
717,-59
718,-69.5
719,-86
720,-84
721,-41
722,-82
723,-51.1
724,4
725,-71.4
726,-73
727,-47.5
728,-68
729,-100
730,-49
731,-75.3
732,-100
733,-97
734,-91.5
735,-93.5
736,-52.5
737,-75.1
738,-66.6
739,-94.5
740,-92
741,-90.5
742,-89
743,6
744,-30.3
745,-81
746,-75
747,-15.5
748,-27.9
749,-27
750,-63.7
751,-71
752,-75.5
753,-67
754,-78.5
755,-77.5
